date,spot_close,spot_volume,perp_volume,oi_usd
2024-08-07,55134.16,2490553853.602583,377561.26654178486,4242862533.347957
2024-08-08,61685.99,2836312292.431818,470260.688894702,4623588564.503627
2024-08-09,60837.99,1878350555.5122635,308771.3456043577,4374532405.052393
2024-08-10,60923.51,607372221.2460397,115629.68508954716,4328932917.141956
2024-08-11,58712.59,1152081498.1567774,202602.7181989648,4115217170.396212
2024-08-12,59346.64,2186851067.316586,363475.26969202905,4064392168.357778
2024-08-13,60587.15,1668247896.8477187,256015.16150067275,4368740663.576374
2024-08-14,58683.39,1705464263.505865,237085.64580714787,4578863541.650646
2024-08-15,57541.06,2194915865.052229,360448.32862080046,4819060870.388291
2024-08-16,58874.6,1614654900.3332715,268647.67066154664,4835455285.931039
2024-08-17,59491.99,457737705.7722839,77104.73847052603,4914731008.619869
2024-08-18,58427.35,813166580.7264851,149716.97038608,4829960160.302042
2024-08-19,59438.5,1336287900.197634,214096.0334227169,4738255415.448879
2024-08-20,59013.8,1890620149.79102,287128.74845494016,4880538033.950316
2024-08-21,61156.03,1682529555.0960546,270666.5319920074,5233971868.938211
2024-08-22,60375.84,1288544247.9560175,211106.9622502837,5051449548.402302
2024-08-23,64037.24,2375916932.7935486,382595.8094057168,5550041336.127582
2024-08-24,64157.01,1015774255.1740764,132779.62363621368,5583150574.57684
2024-08-25,64220.0,789935122.9930242,115583.20448524714,5647799857.849431
2024-08-26,62834.0,1238341818.4320166,195961.006359178,5295994288.912245
2024-08-27,59415.0,2158144642.992993,339376.43778851285,4838547907.512225
2024-08-28,59034.9,2183054412.974087,313784.6838057291,4671423338.770224
2024-08-29,59359.01,1617931684.258576,233894.7222122597,4832826053.61293
2024-08-30,59123.99,1680918972.4658496,268360.78852256644,4720624826.410129
2024-08-31,58973.99,519849184.8690446,68888.31885425518,4775603904.541681
2024-09-01,57301.86,1202176847.3910584,222979.97677634915,4705764058.371843
2024-09-02,59132.13,1333092369.4465685,201278.3640841304,4878304845.789912
2024-09-03,57487.73,1335076815.8599248,230022.2924867126,4780327877.929128
2024-09-04,57970.9,2027630870.179676,327051.6753222925,4701078271.913211
2024-09-05,56180.0,1577770853.1007974,294799.69568264735,4701214541.801595
2024-09-06,53962.97,2988914918.924334,479077.153046235,4611656125.474658
2024-09-07,54160.86,905693342.5898322,127699.7495291149,4513235928.691517
